questid2,filedate,age2,mr30est
89706443,10/09/2020,12,93
19516443,10/09/2020,4,99
76146443,10/09/2020,13,91
72356443,10/09/2020,12,98
28756443,10/09/2020,2,91
21266443,10/09/2020,16,93
57666443,10/09/2020,16,91
15297443,10/09/2020,17,93
57097443,10/09/2020,10,91
73827443,10/09/2020,16,93
57237443,10/09/2020,16,93
69747443,10/09/2020,2,91
75147443,10/09/2020,13,93
29557443,10/09/2020,15,93
16477443,10/09/2020,11,91
69987443,10/09/2020,15,93
17187443,10/09/2020,9,99
50698443,10/09/2020,15,91
95198443,10/09/2020,6,93
36808443,10/09/2020,3,91
14818443,10/09/2020,1,91
64628443,10/09/2020,6,91
59938443,10/09/2020,15,91
80599443,10/09/2020,12,91
75099443,10/09/2020,13,99
54339443,10/09/2020,6,99
58939443,10/09/2020,14,91
77749443,10/09/2020,17,91
15759443,10/09/2020,15,91
44859443,10/09/2020,8,93
50069443,10/09/2020,7,93
61589443,10/09/2020,15,93
95189443,10/09/2020,12,93
74800443,10/09/2020,15,91
89920443,10/09/2020,15,93
12430443,10/09/2020,12,99
30630443,10/09/2020,9,93
85840443,10/09/2020,2,91
50150443,10/09/2020,12,91
12380443,10/09/2020,15,93
61291443,10/09/2020,15,91
13801443,10/09/2020,17,91
85411443,10/09/2020,17,91
77021443,10/09/2020,9,91
34131443,10/09/2020,6,93
58441443,10/09/2020,13,91
25741443,10/09/2020,14,91
74271443,10/09/2020,12,91
69771443,10/09/2020,14,91
67781443,10/09/2020,7,91
54892443,10/09/2020,11,99
84602443,10/09/2020,12,91
84552443,10/09/2020,12,91
60952443,10/09/2020,15,91
43603443,10/09/2020,15,91
34313443,10/09/2020,6,99
72513443,10/09/2020,11,91
57013443,10/09/2020,10,91
61233443,10/09/2020,13,91
55833443,10/09/2020,15,93
95353443,10/09/2020,17,91
55973443,10/09/2020,14,91
34073443,10/09/2020,8,91
48483443,10/09/2020,15,93
61994443,10/09/2020,15,91
29334443,10/09/2020,15,93
45444443,10/09/2020,14,93
71844443,10/09/2020,15,93
41464443,10/09/2020,17,93
29664443,10/09/2020,17,99
17864443,10/09/2020,16,93
95684443,10/09/2020,15,91
13205543,10/09/2020,14,91
59605543,10/09/2020,15,91
74915543,10/09/2020,5,91
50935543,10/09/2020,4,91
49035543,10/09/2020,1,91
15955543,10/09/2020,15,91
18275543,10/09/2020,11,91
97375543,10/09/2020,8,91
69175543,10/09/2020,5,91
77185543,10/09/2020,10,93
25196543,10/09/2020,10,93
29316543,10/09/2020,16,91
97516543,10/09/2020,8,91
57326543,10/09/2020,16,91
30356543,10/09/2020,2,91
27276543,10/09/2020,13,91
73676543,10/09/2020,16,91
11876543,10/09/2020,5,91
17086543,10/09/2020,9,99
33297543,10/09/2020,4,91
83007543,10/09/2020,11,93
45617543,10/09/2020,14,93
13817543,10/09/2020,2,91
51827543,10/09/2020,16,91
77747543,10/09/2020,8,98
33147543,10/09/2020,16,93
39357543,10/09/2020,10,99
37367543,10/09/2020,12,91
85567543,10/09/2020,17,91
38077543,10/09/2020,12,91
29308543,10/09/2020,11,93
83908543,10/09/2020,13,99
13718543,10/09/2020,12,91
61918543,10/09/2020,15,99
36368543,10/09/2020,2,91
90778543,10/09/2020,5,91
36178543,10/09/2020,12,91
45088543,10/09/2020,6,91
31009543,10/09/2020,14,93
60919543,10/09/2020,7,99
74849543,10/09/2020,13,93
51149543,10/09/2020,13,91
76079543,10/09/2020,13,99
97789543,10/09/2020,17,91
97300543,10/09/2020,14,93
11900543,10/09/2020,17,91
50000543,10/09/2020,2,91
85310543,10/09/2020,15,91
31710543,10/09/2020,12,91
40620543,10/09/2020,1,91
81330543,10/09/2020,15,93
65640543,10/09/2020,15,93
91850543,10/09/2020,4,91
59050543,10/09/2020,14,91
97060543,10/09/2020,7,91
71280543,10/09/2020,9,93
87631543,10/09/2020,13,93
85541543,10/09/2020,13,91
55351543,10/09/2020,17,91
67771543,10/09/2020,16,93
53171543,10/09/2020,6,93
55781543,10/09/2020,17,91
11512543,10/09/2020,13,91
65112543,10/09/2020,14,93
19522543,10/09/2020,12,91
83122543,10/09/2020,11,91
65732543,10/09/2020,14,99
54832543,10/09/2020,4,91
39042543,10/09/2020,17,91
31272543,10/09/2020,11,93
43693543,10/09/2020,17,91
72643543,10/09/2020,4,93
29943543,10/09/2020,15,91
81553543,10/09/2020,12,91
92263543,10/09/2020,15,91
23304543,10/09/2020,16,93
63114543,10/09/2020,12,99
74344543,10/09/2020,1,91
43444543,10/09/2020,10,91
13684543,10/09/2020,9,91
60984543,10/09/2020,11,99
11395643,10/09/2020,13,91
23905643,10/09/2020,17,93
27315643,10/09/2020,15,91
25655643,10/09/2020,2,91
72765643,10/09/2020,8,91
47075643,10/09/2020,15,93
69685643,10/09/2020,15,93
36985643,10/09/2020,2,91
35746643,10/09/2020,13,91
22476643,10/09/2020,11,91
23997643,10/09/2020,15,93
54607643,10/09/2020,8,93
69917643,10/09/2020,15,91
45937643,10/09/2020,15,91
81667643,10/09/2020,14,91
49867643,10/09/2020,17,91
43418643,10/09/2020,17,91
80528643,10/09/2020,2,99
30478643,10/09/2020,14,91
35788643,10/09/2020,5,91
42899643,10/09/2020,1,91
89199643,10/09/2020,12,93
10809643,10/09/2020,7,91
93319643,10/09/2020,17,91
47919643,10/09/2020,16,91
15739643,10/09/2020,12,93
83649643,10/09/2020,14,93
59049643,10/09/2020,6,91
11659643,10/09/2020,10,91
45879643,10/09/2020,16,93
22179643,10/09/2020,12,91
11890643,10/09/2020,15,93
31600643,10/09/2020,15,93
10510643,10/09/2020,12,91
21220643,10/09/2020,11,91
49420643,10/09/2020,15,93
78330643,10/09/2020,15,93
73830643,10/09/2020,7,91
76240643,10/09/2020,14,91
62450643,10/09/2020,15,93
84060643,10/09/2020,9,91
93160643,10/09/2020,14,91
79370643,10/09/2020,15,93
54201643,10/09/2020,13,93
99321643,10/09/2020,7,93
65531643,10/09/2020,17,91
94631643,10/09/2020,2,91
69841643,10/09/2020,13,99
33251643,10/09/2020,15,91
31451643,10/09/2020,15,91
16381643,10/09/2020,2,91
14392643,10/09/2020,17,91
91212643,10/09/2020,6,93
99222643,10/09/2020,16,99
35432643,10/09/2020,15,91
46662643,10/09/2020,9,99
19172643,10/09/2020,15,91
84293643,10/09/2020,15,91
33393643,10/09/2020,15,91
16093643,10/09/2020,11,99
11443643,10/09/2020,17,91
17083643,10/09/2020,15,91
43294643,10/09/2020,13,93
27894643,10/09/2020,2,91
39214643,10/09/2020,15,91
77744643,10/09/2020,13,91
33144643,10/09/2020,15,91
10254643,10/09/2020,7,91
49354643,10/09/2020,13,93
27554643,10/09/2020,7,91
